# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.5498062339e+01    7.0909806553e-01    2.0481714128e+03    2.0480000000e+03    0.0000000000e+00   -3.5481252580e+01    9.9861607321e-01    1.0000000000e+00
         1   -3.5489500349e+01    7.1803891020e-01    2.0479124552e+03    2.0480000000e+03    0.0000000000e+00   -3.5506431752e+01    9.9786026194e-01    9.9267578125e-01
         2   -3.5477506415e+01    7.0238244643e-01    2.0439370855e+03    2.0440000000e+03    4.3750000000e-01   -3.5485225609e+01    9.9851950479e-01    9.9412915851e-01
         3   -3.5478625149e+01    6.9503868269e-01    2.0451314891e+03    2.0410000000e+03    3.1250000000e-01   -3.5278924876e+01    9.9845567860e-01    9.9461048506e-01
         4   -3.5471427985e+01    6.8733434208e-01    2.0418451706e+03    2.0390000000e+03    4.3750000000e-01   -3.5338462959e+01    9.9826705921e-01    9.9705738107e-01
         5   -3.5478621480e+01    6.9316995075e-01    2.0462100307e+03    2.0400000000e+03    3.1250000000e-01   -3.5170446709e+01    9.9789792813e-01    9.9852941176e-01
         6   -3.5481329980e+01    6.9257510375e-01    2.0437894139e+03    2.0420000000e+03    3.1250000000e-01   -3.5391182416e+01    9.9776957831e-01    9.9608227228e-01
         7   -3.5486910011e+01    7.0010385056e-01    2.0442457680e+03    2.0400000000e+03    1.8750000000e-01   -3.5275523318e+01    9.9832671321e-01    9.9656862745e-01
         8   -3.5478207229e+01    6.9577010913e-01    2.0466750115e+03    2.0430000000e+03    3.7500000000e-01   -3.5303429678e+01    9.9859936141e-01    9.9755261870e-01
         9   -3.5487423756e+01    6.8804682481e-01    2.0484258847e+03    2.0470000000e+03    2.5000000000e-01   -3.5413489587e+01    9.9801270517e-01    9.9853444064e-01
        10   -3.5486397971e+01    7.1191793401e-01    2.0495532517e+03    2.0500000000e+03    2.5000000000e-01   -3.5508216746e+01    9.9808654386e-01    9.9756097561e-01
        11   -3.5483206574e+01    7.0321232968e-01    2.0453810803e+03    2.0470000000e+03    2.5000000000e-01   -3.5562211595e+01    9.9808569182e-01    9.9560332193e-01
        12   -3.5487708355e+01    7.0615454969e-01    2.0477027125e+03    2.0450000000e+03    3.1250000000e-01   -3.5355247805e+01    9.9787089702e-01    9.9804400978e-01
        13   -3.5497393824e+01    7.0067326878e-01    2.0524046910e+03    2.0520000000e+03    3.1250000000e-01   -3.5473191313e+01    9.9818087414e-01    9.9707602339e-01
