#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5762541454e+01    1.2798880599e+03   -4.7571977241e+01    1.1809435786e+01   -8.5423101089e+00    3.6851654738e+00   -6.2967331313e+00   -3.6418099474e+01    1.0232783667e+04    2.4681657300e-01    9.9715472699e-01
         1   -3.5803726233e+01    1.2828146831e+03   -4.7644981723e+01    1.1841255490e+01   -8.5839021359e+00    3.6941829727e+00   -6.3371630851e+00   -3.6418099474e+01    1.0254186019e+04    2.5278282100e-01    9.9720557491e-01
         2   -3.5827484103e+01    1.2844751071e+03   -4.7572445328e+01    1.1744961224e+01   -8.6603906294e+00    3.8655571235e+00   -6.3595123477e+00   -3.6418099474e+01    1.0227027246e+04    2.8375042300e-01    9.9721380389e-01
         3   -3.5854044207e+01    1.2863013953e+03   -4.7625899279e+01    1.1771855072e+01   -8.6324588007e+00    3.8330362766e+00   -6.4083772809e+00   -3.6418099474e+01    1.0259447659e+04    2.8778526100e-01    9.9709164788e-01
         4   -3.5876776579e+01    1.2879472599e+03   -4.7615710192e+01    1.1738933613e+01   -8.6401121570e+00    3.8814581014e+00   -6.4389566625e+00   -3.6418099474e+01    1.0273659215e+04    2.7089008500e-01    9.9726958189e-01
         5   -3.5881150305e+01    1.2882422496e+03   -4.7610199420e+01    1.1729049116e+01   -8.5896232699e+00    3.8250095143e+00   -6.4274861905e+00   -3.6418099474e+01    1.0276780781e+04    2.6013431500e-01    9.9732759699e-01
         6   -3.5882752134e+01    1.2883299226e+03   -4.7737009906e+01    1.1854257771e+01   -8.5072684581e+00    3.6332413321e+00   -6.4448833056e+00   -3.6418099474e+01    1.0331726610e+04    2.6585064100e-01    9.9721765218e-01
         7   -3.5903725305e+01    1.2898467801e+03   -4.7725410439e+01    1.1821685134e+01   -8.4566114063e+00    3.6483014724e+00   -6.4990010306e+00   -3.6418099474e+01    1.0294397486e+04    2.6365262900e-01    9.9715451668e-01
         8   -3.5932814999e+01    1.2919185241e+03   -4.7728955065e+01    1.1796140066e+01   -8.4692533853e+00    3.6419107461e+00   -6.4835129519e+00   -3.6418099474e+01    1.0324196182e+04    2.6460058200e-01    9.9729987953e-01
         9   -3.5937354257e+01    1.2922531808e+03   -4.7811804274e+01    1.1874450017e+01   -8.4731339788e+00    3.5657413514e+00   -6.4863121723e+00   -3.6418099474e+01    1.0396587264e+04    2.7155286000e-01    9.9714725655e-01
        10   -3.5967453588e+01    1.2943923223e+03   -4.7838501640e+01    1.1871048053e+01   -8.4732210954e+00    3.5465903630e+00   -6.4937714334e+00   -3.6418099474e+01    1.0421772966e+04    2.7965116600e-01    9.9708468810e-01
        11   -3.5972452823e+01    1.2947759640e+03   -4.7817391829e+01    1.1844939007e+01   -8.5571809364e+00    3.6705938895e+00   -6.5127053084e+00   -3.6418099474e+01    1.0550234907e+04    2.6764819000e-01    9.9708026230e-01
        12   -3.5992429080e+01    1.2962345753e+03   -4.7665287239e+01    1.1672858159e+01   -8.6397571867e+00    3.9081865746e+00   -6.5156171533e+00   -3.6418099474e+01    1.0692183337e+04    2.6661908400e-01    9.9682190646e-01
