#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -3.5758945467e+01    1.2795895693e+03   -4.7453981814e+01    1.1695036347e+01   -8.4305542584e+00    3.7346050876e+00   -6.3399331692e+00   -3.6418099474e+01    2.0480000000e+04    2.1730394380e+00    6.9613037109e-01
         1   -3.5756194094e+01    1.2793793849e+03   -4.7442221906e+01    1.1686027812e+01   -8.4318613826e+00    3.7377961602e+00   -6.3300572094e+00   -3.6418099474e+01    2.0480000000e+04    2.1792463410e+00    6.9664887928e-01
         2   -3.5769081335e+01    1.2803090380e+03   -4.7480737527e+01    1.1711656192e+01   -8.4959795798e+00    3.7602504438e+00   -6.3269089169e+00   -3.6418099474e+01    2.0480000000e+04    2.1795558090e+00    6.9645647321e-01
         3   -3.5759953251e+01    1.2796246931e+03   -4.7494516453e+01    1.1734563201e+01   -8.4305613602e+00    3.6887687573e+00   -6.3346243756e+00   -3.6418099474e+01    2.0480000000e+04    2.1818914540e+00    6.9592924572e-01
         4   -3.5766999245e+01    1.2801608719e+03   -4.7518433849e+01    1.1751434605e+01   -8.5628796916e+00    3.7874216870e+00   -6.3248763706e+00   -3.6418099474e+01    2.0480000000e+04    2.1842366970e+00    6.9628266834e-01
         5   -3.5765210534e+01    1.2800263509e+03   -4.7464458008e+01    1.1699247474e+01   -8.4948526425e+00    3.7801014220e+00   -6.3316073132e+00   -3.6418099474e+01    2.0480000000e+04    2.1830688370e+00    6.9651285807e-01
         6   -3.5756330078e+01    1.2794073058e+03   -4.7449054608e+01    1.1692724530e+01   -8.4819013735e+00    3.7855182760e+00   -6.3345720365e+00   -3.6418099474e+01    2.0480000000e+04    2.1801833160e+00    6.9625999814e-01
         7   -3.5759307534e+01    1.2796317022e+03   -4.7488215380e+01    1.1728907847e+01   -8.4464180467e+00    3.7128836942e+00   -6.3365815537e+00   -3.6418099474e+01    2.0480000000e+04    2.1913060980e+00    6.9655587333e-01
         8   -3.5764548920e+01    1.2799938154e+03   -4.7501109280e+01    1.1736560360e+01   -8.4485068408e+00    3.7315568979e+00   -6.3660598631e+00   -3.6418099474e+01    2.0480000000e+04    2.1855136060e+00    6.9633324033e-01
         9   -3.5777583780e+01    1.2808900111e+03   -4.7487720847e+01    1.1710137066e+01   -8.4995338799e+00    3.7799932143e+00   -6.3500807069e+00   -3.6418099474e+01    2.0480000000e+04    2.1904265800e+00    6.9682675316e-01
        10   -3.5761042680e+01    1.2797095915e+03   -4.7511644648e+01    1.1750601968e+01   -8.4580961639e+00    3.7058985645e+00   -6.3413475748e+00   -3.6418099474e+01    2.0480000000e+04    2.1792698300e+00    6.9613444010e-01
        11   -3.5756537034e+01    1.2793916502e+03   -4.7509544038e+01    1.1753007004e+01   -8.4803940961e+00    3.7185103507e+00   -6.3295608184e+00   -3.6418099474e+01    2.0480000000e+04    2.1869967340e+00    6.9664539156e-01
        12   -3.5768443584e+01    1.2802232315e+03   -4.7524391564e+01    1.1755947979e+01   -8.5341420198e+00    3.7734002935e+00   -6.3455503635e+00   -3.6418099474e+01    2.0480000000e+04    2.1822884370e+00    6.9692789714e-01
        13   -3.5748430586e+01    1.2788274778e+03   -4.7432939204e+01    1.1684508618e+01   -8.4080240381e+00    3.7356957760e+00   -6.3425114682e+00   -3.6418099474e+01    2.0480000000e+04    2.1929125870e+00    6.9617571150e-01
        14   -3.5773132104e+01    1.2805827031e+03   -4.7452766224e+01    1.1679634119e+01   -8.3863871899e+00    3.7120585610e+00   -6.3603381204e+00   -3.6418099474e+01    2.0480000000e+04    2.1885055790e+00    6.9664539156e-01
        15   -3.5772106600e+01    1.2805153417e+03   -4.7450005970e+01    1.1677899370e+01   -8.4715504365e+00    3.7977949663e+00   -6.3581510260e+00   -3.6418099474e+01    2.0480000000e+04    2.1856780430e+00    6.9720633371e-01
        16   -3.5752488548e+01    1.2791280244e+03   -4.7507845049e+01    1.1755356502e+01   -8.4906399338e+00    3.7268972667e+00   -6.3260029081e+00   -3.6418099474e+01    2.0480000000e+04    2.1898518750e+00    6.9610595703e-01
        17   -3.5771382741e+01    1.2804513929e+03   -4.7504219314e+01    1.1732836572e+01   -8.4688365573e+00    3.7360853440e+00   -6.3533686261e+00   -3.6418099474e+01    2.0480000000e+04    2.1896528690e+00    6.9654773531e-01
