# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.4829139608e+01    9.5868212804e-01    2.0482499157e+03    2.0480000000e+03    0.0000000000e+00   -3.4817078721e+01    9.9498260666e-01    1.0000000000e+00
         1   -3.4859798298e+01    9.5659383609e-01    2.0486260484e+03    2.0480000000e+03    0.0000000000e+00   -3.4835240693e+01    9.9515174044e-01    9.8437500000e-01
         2   -3.4862993897e+01    9.7558911482e-01    2.0474875933e+03    2.0480000000e+03    7.5000000000e-01   -3.4875080346e+01    9.9538654297e-01    9.9414062500e-01
         3   -3.4861747474e+01    9.4665021987e-01    2.0574619818e+03    2.0570000000e+03    5.0000000000e-01   -3.4850482403e+01    9.9535452078e-01    9.9076324745e-01
         4   -3.4871072556e+01    8.8627278402e-01    2.0478702555e+03    2.0570000000e+03    7.5000000000e-01   -3.5092220891e+01    9.9550607362e-01    9.8833252309e-01
         5   -3.4865195257e+01    9.4220929964e-01    2.0420330815e+03    2.0420000000e+03    1.0000000000e+00   -3.4867904865e+01    9.9425614091e-01    9.9461312439e-01
         6   -3.4876999017e+01    9.7390671817e-01    2.0541823008e+03    2.0480000000e+03    7.5000000000e-01   -3.4719305907e+01    9.9559917544e-01    9.9365234375e-01
         7   -3.4877460163e+01    9.5303123859e-01    2.0458969930e+03    2.0520000000e+03    7.5000000000e-01   -3.5027706739e+01    9.9516786603e-01    9.9122807018e-01
         8   -3.4885704853e+01    9.1201978600e-01    2.0462467405e+03    2.0440000000e+03    5.0000000000e-01   -3.4826090841e+01    9.9543652638e-01    9.9168297456e-01
         9   -3.4893217618e+01    9.3479748117e-01    2.0439795561e+03    2.0420000000e+03    1.0000000000e+00   -3.4842882335e+01    9.9574375469e-01    9.9216454456e-01
        10   -3.4928550989e+01    9.4659574544e-01    2.0467473644e+03    2.0420000000e+03    2.5000000000e-01   -3.4794965778e+01    9.9533141783e-01    9.9314397649e-01
        11   -3.4946744153e+01    8.8810758060e-01    2.0457250610e+03    2.0440000000e+03    5.0000000000e-01   -3.4897959709e+01    9.9564444906e-01    9.9119373777e-01
        12   -3.4957431334e+01    8.8300781636e-01    2.0445011791e+03    2.0420000000e+03    7.5000000000e-01   -3.4891172780e+01    9.9512216545e-01    9.9314397649e-01
        13   -3.4988272027e+01    8.9577060750e-01    2.0450552822e+03    2.0410000000e+03    7.5000000000e-01   -3.4871937852e+01    9.9492043593e-01    9.9510044096e-01
        14   -3.4959828194e+01    8.7334880039e-01    2.0411431872e+03    2.0390000000e+03    5.0000000000e-01   -3.4916327767e+01    9.9475588892e-01    9.9313388916e-01
        15   -3.4963339981e+01    9.0945557400e-01    2.0489108769e+03    2.0420000000e+03    7.5000000000e-01   -3.4792144674e+01    9.9536645580e-01    9.9118511263e-01
        16   -3.4972267231e+01    8.9160984642e-01    2.0373512246e+03    2.0380000000e+03    1.0000000000e+00   -3.4985573243e+01    9.9446770870e-01    9.9214916585e-01
        17   -3.4960546495e+01    8.8595151491e-01    2.0422445221e+03    2.0320000000e+03    1.2500000000e+00   -3.4711609116e+01    9.9558075132e-01    9.9606299213e-01
        18   -3.4967702745e+01    8.5897699510e-01    2.0479192780e+03    2.0420000000e+03    7.5000000000e-01   -3.4819834083e+01    9.9583480425e-01    9.9559255632e-01
        19   -3.4985300220e+01    8.3183745132e-01    2.0514202175e+03    2.0510000000e+03    7.5000000000e-01   -3.4965731954e+01    9.9531580199e-01    9.9414919551e-01
        20   -3.5004092744e+01    8.2183583194e-01    2.0478966439e+03    2.0510000000e+03    2.5000000000e-01   -3.5068731978e+01    9.9583947629e-01    9.9268649439e-01
        21   -3.5013774433e+01    8.3630900552e-01    2.0491569414e+03    2.0490000000e+03    7.5000000000e-01   -3.5004042276e+01    9.9459361272e-01    9.9316739873e-01
        22   -3.5010232960e+01    8.5651372422e-01    2.0440487701e+03    2.0440000000e+03    2.5000000000e-01   -3.5009498342e+01    9.9467193550e-01    9.9070450098e-01
        23   -3.5019094734e+01    8.2976112706e-01    2.0414006748e+03    2.0410000000e+03    7.5000000000e-01   -3.5007435538e+01    9.9502746855e-01    9.9265066144e-01
        24   -3.5016767437e+01    8.3771258324e-01    2.0414120721e+03    2.0410000000e+03    5.0000000000e-01   -3.5008571188e+01    9.9588376892e-01    9.9412052915e-01
        25   -3.5009582601e+01    8.6474833543e-01    2.0431258546e+03    2.0430000000e+03    1.0000000000e+00   -3.5009570515e+01    9.9402732802e-01    9.9314733235e-01
        26   -3.5017739693e+01    8.7745865548e-01    2.0360660563e+03    2.0360000000e+03    5.0000000000e-01   -3.5009874695e+01    9.9490102969e-01    9.9263261297e-01
        27   -3.5026591916e+01    8.8146638466e-01    2.0346481851e+03    2.0340000000e+03    1.0000000000e+00   -3.5007196493e+01    9.9474795510e-01    9.9557522124e-01
        28   -3.5022357047e+01    8.6541466426e-01    2.0396082626e+03    2.0390000000e+03    5.0000000000e-01   -3.5008193780e+01    9.9548455277e-01    9.9313388916e-01
        29   -3.5028642196e+01    8.0255070041e-01    2.0375546646e+03    2.0370000000e+03    1.0000000000e+00   -3.5011475561e+01    9.9558151376e-01    9.9361806578e-01
        30   -3.5033990975e+01    7.9491004501e-01    2.0388290362e+03    2.0380000000e+03    5.0000000000e-01   -3.5011774264e+01    9.9542549411e-01    9.9313052012e-01
        31   -3.5049332361e+01    7.9951089377e-01    2.0350642703e+03    2.0340000000e+03    5.0000000000e-01   -3.5013954365e+01    9.9449986045e-01    9.9360865290e-01
        32   -3.5047155756e+01    7.9482739820e-01    2.0323740930e+03    2.0310000000e+03    5.0000000000e-01   -3.5014680285e+01    9.9520146976e-01    9.9212210734e-01
        33   -3.5058682162e+01    8.2875703409e-01    2.0305949381e+03    2.0290000000e+03    5.0000000000e-01   -3.5015368203e+01    9.9551939996e-01    9.9655002464e-01
        34   -3.5068491481e+01    8.8375481240e-01    2.0428089571e+03    2.0410000000e+03    1.0000000000e+00   -3.5017039188e+01    9.9572522876e-01    9.9363057325e-01
        35   -3.5099790665e+01    9.0203178669e-01    2.0514123007e+03    2.0490000000e+03    7.5000000000e-01   -3.5025897326e+01    9.9632479560e-01    9.9853587116e-01
        36   -3.5093255067e+01    8.8235988868e-01    2.0613865366e+03    2.0590000000e+03    5.0000000000e-01   -3.5034559724e+01    9.9568044438e-01    9.9271491015e-01
        37   -3.5093266929e+01    8.6364309533e-01    2.0600050641e+03    2.0580000000e+03    1.0000000000e+00   -3.5042960668e+01    9.9448699627e-01    9.9368318756e-01
        38   -3.5076838994e+01    8.5563807390e-01    2.0565717816e+03    2.0550000000e+03    5.0000000000e-01   -3.5045447020e+01    9.9520117359e-01    9.9270072993e-01
        39   -3.5086381802e+01    8.4382506976e-01    2.0635264789e+03    2.0620000000e+03    5.0000000000e-01   -3.5045738819e+01    9.9521031008e-01    9.9466537342e-01
        40   -3.5098328834e+01    8.3772547616e-01    2.0606331072e+03    2.0590000000e+03    7.5000000000e-01   -3.5051355793e+01    9.9511122461e-01    9.9222923749e-01
        41   -3.5114629282e+01    8.4668145455e-01    2.0592411816e+03    2.0570000000e+03    7.5000000000e-01   -3.5052549123e+01    9.9495355326e-01    9.9659698590e-01
        42   -3.5102415144e+01    8.1299208429e-01    2.0702073210e+03    2.0680000000e+03    5.0000000000e-01   -3.5054974762e+01    9.9541743024e-01    9.9274661509e-01
        43   -3.5100761534e+01    8.0198595516e-01    2.0735946936e+03    2.0720000000e+03    7.5000000000e-01   -3.5062586581e+01    9.9553391079e-01    9.9420849421e-01
        44   -3.5068435782e+01    8.3150786276e-01    2.0726930836e+03    2.0720000000e+03    7.5000000000e-01   -3.5066261492e+01    9.9523019580e-01    9.9227799228e-01
        45   -3.5085920154e+01    7.6740892643e-01    2.0683912557e+03    2.0680000000e+03    2.5000000000e-01   -3.5066410362e+01    9.9531110905e-01    9.8887814313e-01
        46   -3.5093166832e+01    8.1059414086e-01    2.0590355328e+03    2.0580000000e+03    7.5000000000e-01   -3.5065544069e+01    9.9560433058e-01    9.9416909621e-01
        47   -3.5103037332e+01    7.8196729948e-01    2.0584594235e+03    2.0570000000e+03    5.0000000000e-01   -3.5062400627e+01    9.9539087527e-01    9.9513855129e-01
        48   -3.5114941700e+01    7.5900404185e-01    2.0648433625e+03    2.0630000000e+03    5.0000000000e-01   -3.5063764031e+01    9.9478714538e-01    9.9272903539e-01
        49   -3.5122273698e+01    7.7630461795e-01    2.0640356325e+03    2.0620000000e+03    7.5000000000e-01   -3.5068800958e+01    9.9492906370e-01    9.9660523763e-01
